Name	Base_URL	Customer_ID	Requestor_ID	API_Key	Platform	Version	Delay	Retry	Support_Contact	Credentials_Expire	Customizations	Host_Types	Website	Notifications_URL	Usage_Data_Host	Usage_Data_Host_Contact	Usage_Data_Host_Website	Usage_Data_Host_URL
American Association for the Advancement of Science	https://www.science.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.aaas.org/contact-aaas	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.aaas.org/	https://registry.countermetrics.org/api/v1/sushi-service/9e37a3d3-f73b-4cad-81ed-633ddd1c579b/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Association of Critical Care Nurses Journals	https://sitemaster.aacnjournals.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://aacnjournals.org/contact-us	Credentials do not auto expire	No customizations	eJournal	https://aacnjournals.org	https://registry.countermetrics.org/api/v1/sushi-service/f6370d81-59e7-4ce2-bebe-1524be6fd512/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Association of Immunologists	https://sitemaster.journals.aai.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Person=Silverchair COUNTER, Email=counter@silverchair.com	Credentials do not auto expire	No customizations	eJournal	https://journals.aai.org/	https://registry.countermetrics.org/api/v1/sushi-service/19a04f58-43e9-423b-8d3e-d68a46d69728/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Chemical Society	https://pubs.acs.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=acs_pubs_assist@acs.org	Credentials do not auto expire	No customizations	eJournal; eBook	https://pubs.acs.org/	https://registry.countermetrics.org/api/v1/sushi-service/528da45d-7847-4951-be72-adbee265fc27/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American College of Cardiology	https://www.jacc.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown		Credentials do not auto expire	No customizations	eBook; eJournal	https://www.jacc.org/	https://registry.countermetrics.org/api/v1/sushi-service/be8e9fd5-8717-40a1-aae4-87f81ef9630d/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American College of Physicians	https://www.acpjournals.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.acpjournals.org/journal/aim/contact-us	Credentials do not auto expire	No customizations	Multimedia; eJournal	https://www.acpjournals.org/	https://registry.countermetrics.org/api/v1/sushi-service/30dc7c8a-1a68-49ba-8ea1-5acdf2bd74d6/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Diabetes Association Journals	https://sitemaster.diabetesjournals.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=askada@diabetes.org	Credentials do not auto expire	No customizations	eBook; eJournal	https://diabetesjournals.org	https://registry.countermetrics.org/api/v1/sushi-service/bf2e042c-4d15-4a6e-9251-efbaa8080358/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Economic Association	https://www.pubs.aeaweb.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.aeaweb.org/contact	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.aeaweb.org	https://registry.countermetrics.org/api/v1/sushi-service/e01f835c-f374-4de3-b14e-479651a29c21/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Heart Association	https://www.ahajournals.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=customerservice@lww.com	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.ahajournals.org/	https://registry.countermetrics.org/api/v1/sushi-service/4f97534b-2327-4a68-99b4-a2909c8f8e63/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Institute of Aeronautics and Astronautics	https://arc.aiaa.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=custserv@aiaa.org	Credentials do not auto expire	No customizations	eJournal	https://arc.aiaa.org/	https://registry.countermetrics.org/api/v1/sushi-service/464475e0-cdce-40c3-85dd-8d6c41b00416/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Institute of Physics	https://sitemaster.pubs.aip.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=counter@silverchair.com, Form_url=https://pubs.aip.org/contact-us	Credentials do not auto expire	No customizations	eJournal; eBook	https://pubs.aip.org/	https://registry.countermetrics.org/api/v1/sushi-service/d09ccc3a-7faf-456f-a76f-954a71377d32/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Journal of Tropical Medicine and Hygiene	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://www.ajtmh.org/	https://registry.countermetrics.org/api/v1/sushi-service/f982b507-f83e-46d1-be83-39a6328e1e50/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
American Mathematical Society	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or from the publisher	Required: Available from the LibLynx portal or from the publisher	Not required		5.1	No volume limits	Queuing reports unknown	Email=cust-serv@ams.org	Credentials do not auto expire	No customizations	eBook; eJournal	https://www.ams.org/publications	https://registry.countermetrics.org/api/v1/sushi-service/fd2924f9-9ec0-401a-9016-2d844fcbfcc7/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
American Meteorological Society Journals	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://journals.ametsoc.org/	https://registry.countermetrics.org/api/v1/sushi-service/66303adb-4c15-4789-a08a-865722e9ddd6/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
American Occupational Therapy Association	https://sitemaster.research.aota.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://research.aota.org/contact-us	Credentials do not auto expire	No customizations	eJournal	https://research.aota.org/	https://registry.countermetrics.org/api/v1/sushi-service/319ea2ca-2f4b-4c9f-a835-96eae9f2988f/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Pharmacists Association	https://pharmacylibrary.com/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=pharmacylibrary@aphanet.org	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://pharmacylibrary.com/	https://registry.countermetrics.org/api/v1/sushi-service/25890cce-7248-40e8-a806-36ed828ba41f/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Physiological Society	https://journals.physiology.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=subscriptions@physiology.org	Credentials do not auto expire	No customizations	eJournal	https://www.physiology.org	https://registry.countermetrics.org/api/v1/sushi-service/179a3884-a171-4ffc-a16b-a5e8d757d16b/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Phytopathological Society	https://apsjournals.apsnet.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://apsjournals.apsnet.org/feedback/show	Credentials do not auto expire	No customizations	eJournal; eBook	https://apsjournals.apsnet.org/	https://registry.countermetrics.org/api/v1/sushi-service/5d378b48-211d-404d-bf16-5f3b8ce3e7b6/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Podiatric Medical Association	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://www.apma.org/	https://registry.countermetrics.org/api/v1/sushi-service/9d1ad309-7b4b-470a-8ddd-4069715870c2/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
American Psychiatric Publishing	https://psychiatryonline.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=psychiatryonline@psych.org	Credentials do not auto expire	No customizations	eJournal; eBook	https://psychiatryonline.org/	https://registry.countermetrics.org/api/v1/sushi-service/ff64c6a5-cce9-40dc-88b5-29ae5c34d301/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Public Health Association	https://ajph.aphapublications.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://ajph.aphapublications.org/feedback/show	Credentials do not auto expire	No customizations	eJournal; eBook	https://ajph.aphapublications.org/	https://registry.countermetrics.org/api/v1/sushi-service/7ce5d7b9-ac44-4c2d-b96e-6b7359682d47/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Registry of Pathology	https://sitemaster.arppress.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=mphillips@arppress.org	Credentials do not auto expire	No customizations	eBook	https://www.arppress.org/	https://registry.countermetrics.org/api/v1/sushi-service/1210a251-126f-4929-8a98-784f9df3dbb6/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Roentgen Ray Society	https://www.ajronline.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.ajronline.org/feedback/show	Credentials do not auto expire	No customizations	eJournal	https://www.ajronline.org/	https://registry.countermetrics.org/api/v1/sushi-service/d24d5980-4ae5-4fd6-9750-1ff084dddc80/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Society for Cell Biology	https://www.molbiolcell.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=mboc@ascb.org	Credentials do not auto expire	No customizations	eJournal	https://www.molbiolcell.org/	https://registry.countermetrics.org/api/v1/sushi-service/635ddcdd-6fe1-4e4f-8ef3-55020418a917/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Society for Horticultural Science	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://ashs.org/	https://registry.countermetrics.org/api/v1/sushi-service/d6ce42d1-2ce6-412d-b06f-b7e59a037e74/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
American Society of Civil Engineers	https://ascelibrary.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=ascelibrary@asce.org	Credentials do not auto expire	No customizations	eBook_Collection; eJournal; Multimedia_Collection	https://ascelibrary.org/	https://registry.countermetrics.org/api/v1/sushi-service/692a2dd8-2836-402e-980b-35214e5d0eb2/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Society of Clinical Oncology	https://www.ascopubs.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=customerservice@asco.org	Credentials do not auto expire	No customizations	eJournal	https://ascopubs.org/	https://registry.countermetrics.org/api/v1/sushi-service/32c3fb58-404f-40eb-b72d-2ffe4128aa9e/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Society of Health-System Pharmacists	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eBook	https://publications.ashp.org/	https://registry.countermetrics.org/api/v1/sushi-service/5d464a55-48fa-4d1b-b13d-92b4bf6fcfbb/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
American Society of Hematology	https://sitemaster.ashpublications.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=customerservice@hematology.org, Form_url=https://www.hematology.org/contact-us	Credentials do not auto expire	No customizations	eBook; eJournal	https://ashpublications.org	https://registry.countermetrics.org/api/v1/sushi-service/ad525e76-81b3-4812-81d3-57c26fe69c74/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
